Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.88 , 0.854 , 0.91 , 0.125 , 0.881 , 0.708 , 
0.8 , 0.81 , 0.855 , 0.196 , 0.832 , 0.621 , 
0.93 , 0.922 , 0.933 , 0.071 , 0.927 , 0.875 , 
0.93 , 0.917 , 0.933 , 0.071 , 0.925 , 0.971 , 
0.89 , 0.88 , 0.919 , 0.107 , 0.899 , 0.76 , 
0.86 , 0.849 , 0.858 , 0.143 , 0.854 , 0.906 , 
0.89 , 0.895 , 0.883 , 0.107 , 0.889 , 0.905 , 
0.96 , 0.958 , 0.971 , 0.036 , 0.964 , 1.0 , 
0.96 , 0.963 , 0.968 , 0.036 , 0.965 , 0.926 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
